Digisol-DG-HR3400-300Mbps-Wireless-Broadband:
Manish Sharma,21 October 2017,Amazon,Nice product to use,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Karthik,2 September 2016,Amazon,Very good product. Compact and easy set up. Highly recommended.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,21 April 2017,Amazon,as image display product not providing,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Gaurang Chavda,22 November 2016,Amazon,It is a very GOOD product.Amazon service is VERY good.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,11 January 2017,Amazon,Good product. It meets my need.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,14 August 2016,Amazon,Very much fine in this category  definitely go for it router..,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,28 October 2016,Amazon,Best router truly value for money,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,13 April 2016,Amazon,Good,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,23 August 2016,Amazon,Very nice till now!!,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Manish Sharma,4 September 2016,Amazon,Nice router to purchase in low price.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,26 January 2017,Amazon,Ok,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,8 April 2017,Amazon,Nice product.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
chaitanya,23 September 2016,Amazon,Good one,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Aasim,27 September 2016,Amazon,Very Bad,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Youvrajsinh Chauhan,7 March 2016,Amazon,Good product from Digisol  its a wide range of signal strength  with 30-40 mts.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Shuvankar Biswas,15 September 2016,Amazon,Champion in speed and range. I have tried several tp link routers to cover my 2bhk house. Signal was week in deep corners and ends of the house. Finally tried digisol  Wonderful product. Now I am getting full signal strength all over the house and surprising thing is it covers  few more meters outside the house. While we are using 2 phones  1 tab and laptop speed is not dropping at all. Dont think  go for it. Installation is also simple.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Siva Praneeth Kumar,7 July 2017,Amazon,Not as good as I thoughtafter 1 year it had problems of net connection  Auto restart  Phone connection lost  wireless range got down.I have to restart it approx 20-25 times in a day.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,24 August 2016,Amazon,Compact and great finish... it's a small size power house..,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Manish Sharma,2 August 2016,Amazon,Awesome product. Worth to buy. Using it more than a week   haven't faced any single issue yet.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Shovan Paul,14 March 2016,Amazon,good product. i can used it at 30mtr distance .,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Sathish,21 January 2017,Amazon,My router gets disconnected for 25-30times a day and that too very frequently. I just don't know how to return this as the return period has already been elapsed.,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Ashok B.,26 October 2016,Amazon,I use bsnl broadband connection with this digisol really appreciate very good and speed is too good .I give 5 star for this product,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,23 June 2016,Amazon,Made in India product !!!Well its best in this price....!!,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Jayesh sathwara,13 June 2016,Amazon,It's awesome router speed are good Nd also  coverage area,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Sagar patil,29 July 2016,Amazon,nice 1,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,31 August 2016,Amazon,Awesome,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
Amazon Customer,21 October 2016,Amazon,Good one,Digisol-DG-HR3400-Wireless-Broadband-Router,No,No
